IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.89.209.94,443,443,true,FRA,Europe,DE,Frankfurt,263,7.39
34.123.83.237,443,443,true,ORD,North America,US,Chicago,208,7.19
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,314,6.41
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,446,6.13
34.105.189.25,443,443,true,LHR,Europe,GB,London,298,5.39
35.189.99.124,443,443,true,LHR,Europe,GB,London,321,5.23
34.105.140.105,443,443,true,LHR,Europe,GB,London,325,5.22
34.105.189.25,443,443,true,LHR,Europe,GB,London,373,5.19
34.105.130.188,443,443,true,LHR,Europe,GB,London,330,5.17
34.105.140.105,443,443,true,LHR,Europe,GB,London,460,5.04
34.105.233.161,443,443,true,LHR,Europe,GB,London,250,4.85
35.246.97.251,443,443,true,LHR,Europe,GB,London,222,4.82
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,277,0.26
34.49.199.30,80,80,false,SIN,Asia Pacific,SG,Singapore,114,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,16,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,37,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,50,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,55,0.00
34.131.59.243,443,80,false,DEL,Asia Pacific,IN,New Delhi,67,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,77,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,83,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,86,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,87,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,96,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,98,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,107,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,115,0.00
34.149.177.121,80,80,false,SIN,Asia Pacific,SG,Singapore,118,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,119,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,120,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,122,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,131,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,134,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,136,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,137,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,143,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,152,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,155,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,157,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,159,0.00
34.117.105.161,80,80,false,SIN,Asia Pacific,SG,Singapore,160,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,162,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,162,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,162,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,164,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,167,0.00
34.54.241.45,80,80,false,SIN,Asia Pacific,SG,Singapore,168,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,171,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,176,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,176,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,178,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,182,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,185,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,187,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,187,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,189,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,194,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,198,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,198,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,203,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,204,0.00
35.232.39.116,80,80,false,ORD,North America,US,Chicago,206,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,208,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,211,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,213,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,214,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,216,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,216,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,216,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,218,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,218,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,219,0.00
35.188.87.85,80,8080,false,ORD,North America,US,Chicago,220,0.00
35.184.226.235,80,80,false,ORD,North America,US,Chicago,221,0.00
104.196.221.253,80,80,false,ATL,North America,US,Atlanta,221,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,224,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,225,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,229,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,231,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,232,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,232,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,233,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,233,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,235,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,237,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,246,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,250,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,251,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,253,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,257,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,257,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,261,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,263,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,270,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,273,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,276,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,276,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,290,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,305,0.00
34.82.188.91,443,443,true,SEA,North America,US,Seattle,307,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,307,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,325,0.00
34.82.188.91,443,443,true,SEA,North America,US,Seattle,326,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,359,0.00
